"entity";"status";"labellang";"label";"descriptionlang";"description";"instanceofQ";"instanceof";"sexQ";"sex";"bdate";"byear";"bplaceQ";"bplace";"bplaceLat";"bplaceLon";"bcountryQ";"bcountry";"ddate";"dyear";"dplaceQ";"dplace";"dplaceLat";"dplaceLon";"dcountryQ";"dcountry";"occupationQ";"occupation";"notableworkQ";"notablework";"educatedatQ";"educatedat";"fieldofworkQ";"fieldofwork";"movementQ";"movement";"genreQ";"genre";"influencedbyQ";"influencedby";"memberofQ";"memberof";"awardQ";"award";"viafid";"bneid";"mncarsid";"pic";"wikipedias"
"Q2868321";"OK";"es";"Guillaume van Strydonck";"es";"pintor belga";"Q5";"ser humano";"Q6581097";"masculino";"+1861-12-10T00:00:00Z";"1861";"Q111039";"Namsos";"64.493889";"11.511667";"Q20";"Noruega";"+1937-07-02T00:00:00Z";"1937";"Q237674";"Saint-Gilles";"50.826666666";"4.345555555";"Q31";"Bélgica";"Q1028181";"pintor";"Q17494278";"Q17494278";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Q463283";"Los XX";NA;NA;"3402530";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Guillaume_van%20Strydonck%20autoportrait.jpg";NA
"Q260166";"OK";"es";"Marc-Aurèle de Foy Suzor-Coté";"es";"artista canadiense";"Q5";"ser humano";"Q6581097";"masculino";"+1869-04-06T00:00:00Z";"1869";"Q2864904";"Arthabaska";"46.2207";"-71.773";"Q16";"Canadá";"+1937-01-29T00:00:00Z";"1937";"Q490595";"Daytona Beach";"29.210833333";"-81.022777777";"Q30";"Estados Unidos";"Q1028181|Q1281618";"pintor|escultor";NA;NA;"Q337480|Q337454";"Academia Julian|Académie Colarossi";"Q189458";"academicismo";"Q189458";"academicismo";NA;NA;NA;NA;"Q2822453";"Real Academia de Artes de Canadá";"Q63641962";"miembro de la Real Academia de Artes de Canadá";"16428056";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Marc-Aurele_de%20Foy%20Suzor-Cote.jpg";"https://es.wikipedia.org/wiki/Marc_Aur%C3%A8le_de_Foy_Suzor-Cot%C3%A9"
"Q742322";"OK";"es";"Pál Szinyei Merse";"es";"pintor húngaro";"Q5";"ser humano";"Q6581097";"masculino";"+1845-07-04T00:00:00Z";"1845";"Q1075503";"Chminianska Nová Ves";"49.00277778";"21.08194444";"Q214";"Eslovaquia";"+1920-02-02T00:00:00Z";"1920";"Q1100615";"Jarovnice";"49.05";"21.06666667";"Q214";"Eslovaquia";"Q1028181|Q82955";"pintor|político";"Q21806470";"El globo";"Q414052";"Academia de Bellas Artes de Múnich";NA;NA;"Q40415";"impresionismo";"Q134307";"retrato";NA;NA;NA;NA;NA;NA;"56643861";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Szinyei_%C3%96narck%C3%A9p%201897.jpg|https://commons.wikimedia.org/wiki/Special:FilePath/Szeged-szinyei.jpg";"https://es.wikipedia.org/wiki/P%C3%A1l_Szinyei_Merse"
"Q2512019";"OK";"es";"Julien-François Tanguy";"en";"Art collector and owner of an artists supplies shop (1825–1894)";"Q5";"ser humano";"Q6581097";"masculino";"+1825-06-28T00:00:00Z";"1825";"Q456818";"Plédran";"48.445833333";"-2.746111111";"Q142";"Francia";"+1894-02-06T00:00:00Z";"1894";"Q90";"París";"48.856666666";"2.352222222";"Q142";"Francia";"Q10732476|Q173950|Q1780490|Q3243461";"coleccionista de arte|marchante de arte|comunero|coleccionista";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"211009659";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Van_Gogh%20-%20Portrait%20of%20Pere%20Tanguy%201887-8.JPG";NA
"Q2460318";"OK";"es";"Edmund C. Tarbell";"es";"pintor estadounidense";"Q5";"ser humano";"Q6581097";"masculino";"+1862-04-26T00:00:00Z";"1862";"Q3776991";"Groton";"42.611111111";"-71.575";"Q30";"Estados Unidos";"+1938-08-01T00:00:00Z";"1938";"Q2723772";"New Castle";"43.072222222";"-70.716111111";"Q30";"Estados Unidos";"Q1028181|Q644687";"pintor|ilustrador";"Q7240648";"Preparing for the Matinee";"Q337480";"Academia Julian";"Q40415";"impresionismo";"Q40415";"impresionismo";"Q134307";"retrato";NA;NA;"Q463303|Q1971798|Q463281";"Academia Estadounidense de las Artes y las Ciencias|The Ten American Painters|Academia Estadounidense de las Artes y las Letras";"Q52382875|Q107749081";"Miembro de la Academia Estadounidense de las Artes y las Ciencias|Hallgarten Prize";"77239195";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Edmund_C.%20Tarbell.jpg";NA
"Q933765";"OK";"es";"Théophile Thoré";"es";"Periodista y crítico artístico francés";"Q5";"ser humano";"Q6581097";"masculino";"+1807-06-23T00:00:00Z";"1807";"Q343";"La Flèche";"47.699722222";"-0.076111111";"Q142";"Francia";"+1869-04-30T00:00:00Z";"1869";"Q2922045";"Boulevard des Filles-du-Calvaire";"48.862089";"2.366964";"Q142";"Francia";"Q1930187|Q1792450|Q36180|Q10732476|Q4164507|Q6430706";"periodista|historiador del arte|escritor|coleccionista de arte|crítico de arte|crítico";"Q122421947";"Collection de feu Thoré-Bürger, dont la vente aura lieu Hotel Drouot, 1892";"Q271";"Pritaneo Nacional Militar";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2597399|291177338";"XX1453233";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9ophile_Thor%C3%A9%20by%20Nadar.jpg|https://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9ophile_Thor%C3%A9-Burger%20caricature.png|https://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9ophile_Thor%C3%A9-Burger%20by%20Flameng.png";"https://es.wikipedia.org/wiki/Th%C3%A9ophile_Thor%C3%A9"
"Q5765004";"OK";"es";"Charles Tillot";"es";"pintor francés";"Q5";"ser humano";"Q6581097";"masculino";"+1825-01-01T00:00:00Z";"1825";"Q30974";"Ruán";"49.443055555";"1.1025";"Q142";"Francia";"+1906-06-03T00:00:00Z";"1906";"Q245546";"VI Distrito de París";"48.850530555";"2.332233333";"Q142";"Francia";"Q1028181";"pintor";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"96240239";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Nadar-Tillot.jpg";"https://es.wikipedia.org/wiki/Charles_Tillot"
"Q381248";"OK";"es";"James Tissot";"en";"French painter and illustrator (1836–1902)";"Q5";"ser humano";"Q6581097";"masculino";"+1836-10-15T00:00:00Z";"1836";"Q12191";"Nantes";"47.217222222";"-1.553888888";"Q142";"Francia";"+1902-08-08T00:00:00Z";"1902";"Q741599";"Chenecey-Buillon";"47.14";"5.959166666";"Q142";"Francia";"Q1028181|Q3658608|Q11569986";"pintor|caricaturista|grabador";"Q5189805|Q656132|Q7763918|Q122731772";"What Our Lord Saw from the Cross|Le Cercle de la rue Royale|The Shop Girl|La Fortune (James Tissot)";"Q3268916|Q273593";"Colegio Saint-François-Xavier de Vannes|Escuela Nacional Superior de Bellas Artes de París";NA;NA;"Q751880|Q10857409";"japonismo|realismo";"Q134307|Q29527347|Q1047337|Q742333";"retrato|figura|escena de género|pintura de historia";"Q191748|Q17169|Q5581|Q48319|Q5580";"Lucas Cranach el Viejo|Giovanni Bellini|Vittore Carpaccio|Hans Holbein el Joven|Alberto Durero";NA;NA;"Q10855271";"Caballero de la Orden Nacional de la Legión de Honor";"51697889";"XX1386489";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/James_Tissot%20Self%20Portrait%20(1865).jpg";"https://es.wikipedia.org/wiki/James_Tissot"
"Q369416";"OK";"es";"Jan Toorop";"en";"Dutch painter (1858–1928)";"Q5";"ser humano";"Q6581097";"masculino";"+1858-12-20T00:00:00Z";"1858";"Q10674";"Purworejo";"-7.716666666";"110.016666666";"Q252";"Indonesia";"+1928-03-03T00:00:00Z";"1928";"Q36600";"La Haya";"52.08";"4.31";"Q55";"Países Bajos";"Q1028181|Q1925963|Q2000124|Q5322166|Q10862983|Q7541856|Q106811253|Q15296811|Q3391743";"pintor|artista gráfico|diseñador de estampillas|diseñador|aguafuertista|ceramista|ceramics designer|dibujante|artista visual";"Q13048273|Q17334220|Q4973215|Q3824171";"Portrait of Annie Hall|De schelpenvisser|Broek in Waterland|The Sphinx";"Q752663|Q1816228";"Universidad Técnica de Delft|academia van beeldende kunsten";"Q11629";"pintura";"Q80113|Q164800|Q200034";"expresionismo|simbolismo|puntillismo";NA;NA;NA;NA;"Q2117648|Q463283";"Arti et Amicitiae|Los XX";"Q2962574";"Royal Prize for Painting";"130145857839423020282";"XX1138086";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Fotoportret_van%20Jan%20Toorop.jpg";"https://es.wikipedia.org/wiki/Jan_Toorop"
"Q82445";"OK";"es";"Henri de Toulouse-Lautrec";"es";"pintor francés";"Q5";"ser humano";"Q6581097";"masculino";"+1864-11-24T00:00:00Z";"1864";"Q132801";"Albi";"43.928055555";"2.145833333";"Q142";"Francia";"+1901-09-09T00:00:00Z";"1901";"Q194580";"Saint-André-du-Bois";"44.605";"-0.183055555";"Q142";"Francia";"Q739437|Q16947657|Q1028181|Q1925963|Q11569986|Q14623005|Q627325|Q7541856|Q5322166|Q15296811|Q3391743";"cartelista|litógrafo|pintor|artista gráfico|grabador|dibujante arquitectónico|diseñador gráfico|ceramista|diseñador|dibujante|artista visual";"Q3602924|Q3607521|Q951954";"A la mie|En el Moulin Rouge|La payasa Cha-U-Kao";"Q926749";"Liceo Condorcet";"Q1028181";"pintor";"Q166713";"posimpresionismo";"Q134307|Q2302151|Q214127";"retrato|pintura animalista|escena de género";"Q46373";"Edgar Degas";NA;NA;NA;NA;"32003649";"XX1097167";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Photolautrec.jpg";"https://es.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec"
